TradingSymbol,Name,InstrumentType,TimeStamp,Open,High,Low,Close,Volume
"DABUR24MAY560CE,DABUR,CE,06/May/2024 12:27,  3.35 ,  3.35 ,  3.35 ,  3.35 ,""  3,750.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 12:28,  3.35 ,  3.35 ,  3.30 ,  3.35 ,""  3,750.00 """
"DABUR24MAY560CE,DABUR,CE,06/May/2024 12:29,  3.35 ,  3.40 ,  3.35 ,  3.40 ,""  3,750.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 12:30,  3.40 ,  3.40 ,  3.40 ,  3.40 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 12:31,  3.40 ,  3.40 ,  3.40 ,  3.40 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 12:32,  3.35 ,  3.35 ,  3.35 ,  3.35 ,""  5,000.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 12:33,  3.35 ,  3.35 ,  3.35 ,  3.35 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 12:34,  3.35 ,  3.35 ,  3.35 ,  3.35 ,  -   
"DABUR24MAY560CE,DABUR,CE,06/May/2024 12:35,  3.35 ,  3.35 ,  3.30 ,  3.30 ,""  3,750.00 """
DABUR24MAY560CE,DABUR,CE,06/May/2024 12:36,  3.30 ,  3.30 ,  3.30 ,  3.30 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 12:37,  3.30 ,  3.30 ,  3.30 ,  3.30 ,  -   
DABUR24MAY560CE,DABUR,CE,06/May/2024 12:38,  3.30 ,  3.30 ,  3.30 ,  3.30 ,  -   
